epoch,train_loss,val_loss,epoch_time_s
1,7.083318788247253,6.125201111748105,20.468608856201172
2,5.753174419301441,5.374865501646012,14.140547513961792
3,5.279199745896443,5.091970685928587,17.66807794570923
4,5.0649027824401855,4.955519789741153,19.567475080490112
5,4.941951872823928,4.871271413470072,18.015068769454956
6,4.855921707187199,4.813108020358616,20.166978359222412
7,4.790056453928431,4.7566777638026645,20.807655811309814
8,4.734372369349532,4.704363361237541,19.34502935409546
9,4.672186788826599,4.6683066761682905,20.03120708465576
10,4.620523460381408,4.635771009657118,27.832479238510132
11,4.578422338882094,4.608111419374981,27.554617881774902
12,4.542863640861444,4.584046598464724,28.81697940826416
13,4.511997110255023,4.566483134315128,29.0956768989563
14,4.485195165840813,4.555120036715553,25.578749179840088
15,4.461941152440507,4.538983912695022,26.039939641952515
16,4.440641245664119,4.526929598005991,25.67217707633972
17,4.422010600460994,4.516693168216282,24.851118087768555
18,4.402618133788845,4.505689916156587,25.451239109039307
19,4.3865852084930586,4.5004466071961415,23.51161003112793
20,4.3727648457244275,4.493206758347768,20.953484535217285
21,4.3590508853986885,4.487806744045681,18.322837829589844
22,4.3466527466240406,4.479814726208883,20.50005340576172
23,4.332820914354883,4.474119466448587,21.284268140792847
24,4.322112854590001,4.473444635905917,15.019331693649292
25,4.312397362283873,4.469167648799836,12.847511291503906
26,4.302262397684806,4.46472444231548,13.16554069519043
27,4.292269825300146,4.462221735999698,13.253496646881104
28,4.284170941391804,4.45849811463129,15.28644061088562
29,4.276304222974218,4.455253396715436,13.951720952987671
30,4.2682935941706335,4.454109979054285,14.201187372207642
31,4.259434292625576,4.4538018892681785,15.052990436553955
32,4.253037498856946,4.448777539389474,12.985552310943604
33,4.245823648429044,4.4505138927035865,13.136840581893921
34,4.238947439363117,4.445825311872694,13.983422994613647
35,4.231673280045152,4.443446219913543,17.794857501983643
36,4.227720258502723,4.439139744592091,17.63919734954834
37,4.220743854770017,4.438584986187163,12.815354824066162
38,4.214662792415856,4.440344447181339,15.667346954345703
39,4.209982823309212,4.435214572482639,13.957629442214966
40,4.204516866914332,4.433653755793496,16.216285705566406
